CV,Rank,Job ID,Job Title,Company,Cosine Similarity,Match %,Match Quality,Top Keywords
CV 1 (Software Dev),1,jd_01,Junior Software Developer,TechSolutions Ltd,0.1443,14.43,Partial Match 🟠,"code, software, web, science, rest"
CV 1 (Software Dev),2,jd_02,Data Analyst,DataDriven Corp,0.1133,11.33,Partial Match 🟠,"using, data, analysis, science, machine learning"
CV 1 (Software Dev),3,jd_04,Full Stack Web Developer,WebCraft Agency,0.1105,11.05,Partial Match 🟠,"software, react, development, rest, teamwork"
CV 1 (Software Dev),4,jd_03,Machine Learning Engineer,AI Innovations Inc,0.1003,10.03,Partial Match 🟠,"learning, machine learning, machine, flask, using"
CV 1 (Software Dev),5,jd_08,Mobile App Developer (Android/iOS),AppFactory Studios,0.0578,5.78,Low Match ❌,"react, rest, apis, building, portfolio"
CV 1 (Software Dev),6,jd_09,NLP Research Scientist,LinguaAI Research,0.0492,4.92,Low Match ❌,"scikitlearn, science, machine, machine learning, learning"
CV 1 (Software Dev),7,jd_07,Business Intelligence Developer,InsightPro Analytics,0.0347,3.47,Low Match ❌,"data, sql, problemsolving, python, developer"
CV 1 (Software Dev),8,jd_10,DevOps Engineer,PipelineOps Ltd,0.0314,3.14,Low Match ❌,"github, agile, tools, problemsolving, python"
CV 1 (Software Dev),9,jd_05,Cybersecurity Analyst,SecureNet Ltd,0.0259,2.59,Low Match ❌,"science, computer science, systems, computer, tools"
CV 1 (Software Dev),10,jd_06,Cloud Solutions Architect,CloudFirst Technologies,0.0212,2.12,Low Match ❌,"scalable, agile, python, strong, communication"
CV 2 (Data Science/NLP),1,jd_09,NLP Research Scientist,LinguaAI Research,0.1296,12.96,Partial Match 🟠,"nlp, text, text classification, bert, classification"
CV 2 (Data Science/NLP),2,jd_02,Data Analyst,DataDriven Corp,0.1293,12.93,Partial Match 🟠,"analysis, using, data, python sql, pandas"
CV 2 (Data Science/NLP),3,jd_03,Machine Learning Engineer,AI Innovations Inc,0.1059,10.59,Partial Match 🟠,"nlp, model, using, learning, machine learning"
CV 2 (Data Science/NLP),4,jd_07,Business Intelligence Developer,InsightPro Analytics,0.0474,4.74,Low Match ❌,"data, business, intelligence, interactive, sql"
CV 2 (Data Science/NLP),5,jd_01,Junior Software Developer,TechSolutions Ltd,0.0154,1.54,Low Match ❌,"science, experience, git, sql, python"
CV 2 (Data Science/NLP),6,jd_06,Cloud Solutions Architect,CloudFirst Technologies,0.0146,1.46,Low Match ❌,"stakeholders, docker, experience, skills, python"
CV 2 (Data Science/NLP),7,jd_05,Cybersecurity Analyst,SecureNet Ltd,0.0142,1.42,Low Match ❌,"networks, science, tools, python, skills"
CV 2 (Data Science/NLP),8,jd_10,DevOps Engineer,PipelineOps Ltd,0.0129,1.29,Low Match ❌,"docker, tools, experience, skills, python"
CV 2 (Data Science/NLP),9,jd_04,Full Stack Web Developer,WebCraft Agency,0.01,1.0,Low Match ❌,"experience, git, sql, skills"
CV 2 (Data Science/NLP),10,jd_08,Mobile App Developer (Android/iOS),AppFactory Studios,0.0042,0.42,Low Match ❌,"git, skills"
